State,Year,Percentage_Poverty,Percentage_Uninsured,Poverty/Uninsured Ratio
 AK,2008,12.646428571428572,26.295333017142855,0.4809381407409413
 AK,2009,12.120689655172411,28.02814761344828,0.43244704653106447
 AK,2010,14.075862068965519,27.128604196206894,0.5188568481873312
 AK,2011,14.106896551724141,27.70778472586207,0.5091311590333295
 AK,2012,14.075862068965519,27.81560369758621,0.5060419404158752
 AK,2013,14.289655172413791,26.743882495517248,0.5343149101410012
 AK,2014,14.203448275862069,24.208475933793103,0.5867138565313477
 AK,2015,13.73103448275862,22.001282190344824,0.62410155753488
 AK,2016,14.10344827586207,20.64696560344828,0.6830760774603427
 AL,2008,19.11343283582089,16.279588193432836,1.1740734844589757
 AL,2009,21.005970149253738,17.093141401194032,1.2289122084830104
 AL,2010,21.999999999999996,17.570224648656716,1.2521183103758406
 AL,2011,22.311940298507455,17.421068393880592,1.280744658940944
 AL,2012,22.028358208955225,16.49180642134328,1.3357153028698348
 AL,2013,22.27313432835821,16.638811920746267,1.3386252837311499
 AL,2014,22.14776119402985,15.019570059104472,1.474593554068111
 AL,2015,22.00746268656717,12.562691023761195,1.7518111879805085
 AL,2016,20.656716417910445,11.473606665343283,1.8003681859083853
 AR,2008,19.797333333333334,21.3421201988,0.9276179287213684
 AR,2009,21.33333333333334,21.00929544906667,1.015423548355167
 AR,2010,20.97333333333333,21.74660223986667,0.9644418517429009
 AR,2011,21.70933333333333,20.983565699599996,1.034587431141275
 AR,2012,22.50533333333333,20.628059159866666,1.0910058556123898
 AR,2013,22.070666666666668,19.98019459959999,1.1046272125451937
 AR,2014,21.341333333333328,14.323969628533336,1.4899035593332597
 AR,2015,21.162666666666663,11.54470663938667,1.8331056238767245
 AR,2016,19.996000000000002,9.669747780719996,2.067892612449415
 AZ,2008,18.380000000000003,22.286669481999997,0.8247082416170237
 AZ,2009,19.959999999999997,20.076845982666665,0.994180062806302
 AZ,2010,21.100000000000005,20.173046352000004,1.0459501074763604
 AZ,2011,22.91333333333333,20.539223202666665,1.1155890905532604
 AZ,2012,21.906666666666663,22.143094984,0.9893227068075093
 AZ,2013,21.646666666666665,20.787843451999997,1.0413137234100174
 AZ,2014,21.006666666666668,17.553878048,1.1966966279032603
 AZ,2015,20.52,13.916606237533331,1.474497420546196
 AZ,2016,20.04666666666667,13.285494318800001,1.5089138714469275
 CA,2008,14.155172413793107,18.51807388224138,0.764397663807128
 CA,2009,14.968965517241386,18.623987514655173,0.803746539534691
 CA,2010,16.2448275862069,18.90393310189655,0.8593358587677782
 CA,2011,17.115517241379308,18.964288750517245,0.902513005709876
 CA,2012,17.175862068965518,18.839262982586202,0.9117056269580066
 CA,2013,17.14655172413793,18.46060029586207,0.9288187517922327
 CA,2014,16.71379310344828,13.310503224344828,1.2556845388744473
 CA,2015,16.294827586206893,8.968307701327586,1.8169344907506637
 CA,2016,15.127586206896549,7.718105888551725,1.960012783620307
 CO,2008,13.054687499999998,21.77912021610938,0.5994129868636212
 CO,2009,14.590625000000001,20.41968017860938,0.7145373910059767
 CO,2010,14.235937499999997,20.827044174515628,0.6835313441846618
 CO,2011,15.190625,19.881309306999995,0.7640656239200275
 CO,2012,15.657812500000006,19.189046622937497,0.8159765728685836
 CO,2013,15.006249999999998,19.525122998281248,0.7685610995291022
 CO,2014,14.614062499999994,13.705555583140628,1.0662874927870076
 CO,2015,14.36875,11.053091473734376,1.2999756705302468
 CO,2016,14.3578125,10.4312230300625,1.3764265665321485
 CT,2008,8.2625,9.804776233375001,0.8427015368157852
 CT,2009,8.35,9.5854289365,0.8711138599342534
 CT,2010,9.1,9.678980714249999,0.9401816439826575
 CT,2011,9.6,9.289057967124998,1.0334740114633216
 CT,2012,9.562499999999998,9.68874562125,0.9869698693530449
 CT,2013,9.725,10.045449632999999,0.9681000209341253
 CT,2014,9.8375,7.203246518375001,1.3657036413935293
 CT,2015,9.6125,5.969640424750001,1.6102309881423984
 CT,2016,9.3,5.033365844375,1.8476701848313184
 DE,2008,10.766666666666666,12.680785253333333,0.8490536233816031
 DE,2009,11.966666666666667,13.029831909999999,0.9184052986502931
 DE,2010,12.399999999999999,12.063045973333333,1.0279327482802882
 DE,2011,13.1,11.657994100000002,1.1236924540903652
 DE,2012,13.5,10.647811881666668,1.26786612592623
 DE,2013,13.4,11.471564110000001,1.168105750140815
 DE,2014,13.433333333333332,9.760460371,1.3763012012472349
 DE,2015,12.866666666666665,7.460629927333334,1.724608617769307
 DE,2016,12.166666666666666,7.408153311666666,1.6423346217074228
 FL,2008,16.138805970149257,24.71252215044776,0.6530618717060752
 FL,2009,17.79253731343283,24.21646930507463,0.7347287950727134
 FL,2010,18.74776119402984,23.608551788656715,0.794108904343622
 FL,2011,19.226865671641793,23.239678404477605,0.8273292485810535
 FL,2012,19.74328358208955,22.40490933597015,0.881203457957874
 FL,2013,19.683582089552242,22.93321152477611,0.8583002894421002
 FL,2014,18.93134328358209,19.731670081940294,0.9594394800321178
 FL,2015,18.397014925373128,16.063492745970144,1.1452686670517778
 FL,2016,17.319402985074625,15.291791866402987,1.132594736861834
 GA,2008,19.12327044025157,22.060271339811333,0.8668646974319183
 GA,2009,20.974842767295588,22.039411483521995,0.9516970443143482
 GA,2010,21.722012578616344,22.454321935660374,0.9673867080403337
 GA,2011,23.200000000000003,22.343225962138355,1.038346031110883
 GA,2012,23.14528301886792,21.388349303333342,1.0821444278199048
 GA,2013,23.3308176100629,21.75295635566039,1.0725354856877618
 GA,2014,22.754716981132077,18.93359860855346,1.2018168046961968
